題號,題目
100,"請針對「牛奶對健康的影響」這個議題，利用網路搜尋引擎﹝例如：google﹞搜尋有關的資訊，並請摘錄不同觀點角度的相關說法(內容)至少兩個，並依序進行以下步驟：<ol><li>請就系統提供的選框選項，選擇您給予該說法的認同強度<br>(共五個等級，依序為：非常不認同、大部分不認同、普通、大部分認同、非常認同)</li><li>請複製該說法的來源(含：網站名稱/網址/出處或作者)</li><li>請判斷該資料具有那些屬性? 並在適當的方格內打「V」</li><li>請針對該說法，記錄下您對該說法的看法</li></ol>
"
200,請依序回答下列問題。
201,"請您就適才線上討論的內容，以及之前曾搜尋了解的資料中，重新歸納一個此刻您在牛奶爭議這個議題上「最認同的說法」( 若您參與的是小組討論，而您仍抱持不同於小組的看法，您仍可以改寫一個您真正最認同的說法 )。"
202,"請您給此「最認同的說法」給予的認同強度評分﹝「完全認同」為5分，非常不認同為1分，分數越少代表認同強度越低﹞，並請說明您對此說法認同的理由與抱持的觀點。"
203,"對於此「最認同的說法」，是否完全代表您對該爭議問題的立場?並作簡短說明。"
204,"在您藉由本課程所瞭解的各個說法中，您認為這些說法之間，存在的是「對或錯」的問題，或者是「優或劣」的問題? 或者「二者皆有」? 或者「難以分辨」? 並請就您的判斷做簡單的說明。"
205,"對於您在這個議題上所抱持的觀點，您如何確定是正確的? 而為何不是選擇其他的觀點?"
206,"在此學習過程中，您認為這些蒐集到的看法或意見之所以存在差異，主要的原因為何? 為何同一個議題，大家的立場觀點會不同?"
207,"由課程中學習到與蒐集到的專家看法中，您覺得為什麼專家們在這個爭議問題上會有不同的立場和意見? 請就您的認知與本課程中瀏覽過的資訊，嘗試以不同的角度解釋專家們在「牛奶對健康的影響」這個議題上，為什麼會有不同的看法?"

