題號,題目
100,"此部分的問題，係用以了解您於面對一般問題時慣常抱持的思考態度與習慣；敬請您仔細閱讀每一題後，圈選出一個最能描述您現況的答案。阿拉伯數字1, 2, 3, 4, 5, 6 代表的是使用頻率的高低： 數字越高表示使用的頻率越高。"
101,我嘗試採取不同的角度去思考一個問題
102,我嘗試去應用一些新的觀點或概念
103,在討論的情境中，我試著去尊重他人的觀點。
104,即使是在面臨複雜的問題時，我仍然設法保持理性和邏輯的思考。
105,在使用一項訊息之前，我會先思考此一訊息是否可靠。
106,我嘗試去減正新觀點的價值與可靠性。
200,"此部分的問題，係用以了解人際互動時他人言行對您自己思考和行為的影響；敬請您仔細閱讀每一題後，圈選出一個最能描述您現況的答案。阿拉伯數字1, 2, 3, 4, 5, 6 代表的是使用頻率的高低： 數字越高表示使用的頻率越高。"
201,我常常信賴他人的建議，並據此行動
202,在具爭議性的話題被炒熱爭辯之時，我會是最後一個改變意見的人。
203,一般來說，我會寧願為了和睦而不堅持已見。
300,相較於找個適合自己的朋友群一起生活，我更喜歡以自己的方式過生活。
301,與網友在線上對話時，如果我有不同的意見，通常我會毫不猶豫的表達出來。
302,如果我想在網路上針對話題表達意見，通常我會用匿名方式發表。
303,為了維繫良好互動關係，對於網友在線上社群(例如：FB)發表的意見，即便我不認同，我也會不吝嗇按個讚。
304,當我遇到困難問題時，從網路搜尋得到的意見對我的決定向來很重要。
