題號,題目
100,"請閱讀各題並選擇適當的數字 : 非常不同意「1」、部分不同意「2」、普通「3」、部分同意「4」、非常同意「5」"
101,透過本課程的訓練，能幫助我理解所謂的專家意見也存在不一致的情況。
102,透過本課程的訓練，能提升我思考複雜問題的能力。
103,透過本課程的訓練，能提升我理解他人意見的能力。
104,透過本課程的訓練，能幫助我在矛盾意見中，應用可得資訊，確立自己的看法。
105,透過本課程的訓練，能啟發我面對臨床實務問題時，進行多面向的思考。
106,實驗教學期間，我會利用課餘時間上網搜尋與牛奶爭議有關的資料。
107,透過本課程的學習，讓我對專業知識的學習感到有興趣。
108,透過本課程的學習，能幫助我更主動關心與專業知識相關的社會議題。
109,透過本課程的學習，讓我對於網際網路上的言論訊息有比以前更好的思考判斷能力。
110,透過本課程的學習，開啟我應用網際網路工具於學習的動機。
111,透過本課程的學習，能幫助我日後更願意主動與同學討論學習上的課題。
112,本課程的教學方式能幫助我掌握有效的學習方法。
113,本課程的教學設計，能幫助我更主動的學習。
114,本課程的教學方式能幫助我投入課堂的學習。
115,本課程線上學習的設計，能幫助我針對問題進行深入思考。
116,本課程的教學方式對我在專業課程的學習有幫助。
117,整體而言，我對本課程的教學設計感到滿意。
118,整體而言，我對本課程的教學材料感到滿意(例如：參考資料、講義…等)。
119,整體而言，我對本課程的教學內容感到滿意。
120,整體而言，相較於傳統課程我在本課程的學習效果讓我感到滿意。(意即：經歷此實驗課程，自己主觀感受到與過去課程學習經驗上有所不同的進步感受強烈與否)
121,整體而言，相較於傳統課程我在本課程的學習成效讓我感到滿意。(意即：實驗課程前後感受到自己思考判斷能力層次的改變情況，例如：更懂得查詢資料、比較看法…等等)
200,請簡短寫下： <ol><li>您於本課程的重要經驗收穫</li><li>您對本課程的建議</li>
