題號,題目
100,"此部分的問題，係用以了解您於面對一般問題時慣常抱持的思考態度與習慣；敬請您仔細閱讀每一題後，圈選出一個最能描述您現況的答案。阿拉伯數字1, 2, 3, 4, 5, 6 代表的是使用頻率的高低： 數字越高表示使用的頻率越高。"
101,我嘗試採取不同的角度去思考一個問題
102,我嘗試去應用一些新的觀點或概念
103,在討論的情境中，我試著去尊重他人的觀點。
104,即使是在面臨複雜的問題時，我仍然設法保持理性和邏輯的思考。
105,在使用一項訊息之前，我會先思考此一訊息是否可靠。
106,我嘗試去減正新觀點的價值與可靠性。
107,在做決定時，我會將情境的影響納入考慮。
108,在處理問題時，我嘗試先將問題定義清楚。
109,我嘗試藉由自我質疑的方式，來決定自己的觀點是否具備有足夠的信服力。
110,在解決問題時，我設法使自己保有最新最完整的相關訊息。
111,從討論或觀察當中，我很快就能了解他人的感受與想法。
112,當證據不足時，我會暫緩做判斷。
113,在解決問題時，我試著去考慮各種不同的可能解決方案。
114,當有足夠的證據顯示我的觀點有所偏頗時，我會立即修正我的觀點。
115,在著手解決一個問題之前，我先試著去找出此一問題的發生原因。
116,對於新近發生的爭議問題，我嘗試去了解來龍去脈。
117,當他人提出一個論點時，我試著去找出這個論點中索隱含的主要假設。
118,我嘗試進一步去探索新期的事物或觀點。
119,在討論的情境中，我會仔細聆聽他人的發言。
120,在做成決定之前，我試著去預測所有變通方案可能產生的結果。
200,"此部分的問題，係用以了解人際互動時他人言行對您自己思考和行為的影響；敬請您仔細閱讀每一題後，圈選出一個最能描述您現況的答案。阿拉伯數字1, 2, 3, 4, 5, 6 代表的是使用頻率的高低： 數字越高表示使用的頻率越高。"
201,我常常信賴他人的建議，並據此行動
202,在具爭議性的話題被炒熱爭辯之時，我會是最後一個改變意見的人。
203,一般來說，我會寧願為了和睦而不堅持已見。
204,面對政治取向的決定時，我傾向依循家族的傳統
205,和朋友們在一起時，往往由朋友決定我們一起做哪些事情
206,具魅力與口才的演說者，能容易地影響我的看法。
207,我做事較獨立自主，不會輕易順從他人。
208,如果有人非常有說服力，我傾向更改我的意見，並配合他們。
209,我不輕易對別人妥協或讓步
210,當我必須快速做出重要決定時，我傾向依賴他人
211,相較於找個適合自己的朋友群一起生活，我更喜歡以自己的方式過生活。
212,與網友在線上對話時，如果我有不同的意見，通常我會毫不猶豫的表達出來。
213,如果我想在網路上針對話題表達意見，通常我會用匿名方式發表。
214,為了維繫良好互動關係，對於網友在線上社群(例如：FB)發表的意見，即便我不認同，我也會不吝嗇按個讚。
215,當我遇到困難問題時，從網路搜尋得到的意見對我的決定向來很重要。
216,我在網路上搜尋的意見，常常會改變我的決定。
217,我認為：通常在網路上的共同說法，就是一種正確的主流意見。
218,在非匿名的網路環境下，我會表達不同於他人的意見與看法。
219,網路上瀏覽他人對社會議題發表的意見，常常會帶動我認同的思緒。
220,為了避免被社群網友排斥，通常我會配合大家的想法表達相似的意見。
221,當我遇到困難問題時，線上社群提供的意見對我的決定向來很重要。
