題號,題目
1,"STRIDE (security), spoofing, tampering, repudiation, information disclosure, denial of service, elevation of privilege"
2,"Stride of an array, in computer programming"
3,"Stride of an image, The distance in bytes from the beginning of one row of the image data to the beginning of the next row."
4,"Stride scheduling, a soft real-time scheduling algorithm"
5,"STRIDE (protein), algorithm for Structural identification of the secondary structures of proteins"
6,"Stride, a song by Canadian musician Hayden from his 1996 EP Moving Careful"
7,"Stride, a song by Avail from their 1992 album Satiate"
8,"STRIDE, an indie rock n roll band from North East Scotland"
9,"Stride (music), a type of piano playing"
10,"Stride (band), an American progressive metal band"
