題號,題目
100,學習成效自評
101,透過本次課堂的學習，我能理解類似「牛奶對健康的影響」這類爭議議題，存在不同看法是合理的。<br>﹝註：此處所指的「看法」，係指「有依據且合理的看法」，但其解讀與立場卻可以是非常不同的，例如：「鼓勵飲用」與「不鼓勵飲用」﹞。
102,針對「牛奶對健康的影響」這個議題，我也有一些不同於專家的看法，且有我自己的理由。
103,我能接受「牛奶對健康的影響」的各種爭議論點，即便是專家也很難去判斷所謂的「對」或「錯」。<br>﹝例如：「鼓勵飲用」與「不鼓勵飲用」，專家們也很難去選擇這兩個意見，誰對 或 誰錯﹞。
104,經歷本次課堂的學習，我體會到：面對「牛奶對於健康的影響」這類爭議論點，透過公認的專業訊息來源，可以幫助我做判斷。
105,透過本次課堂的學習，我能分辨哪些訊息屬於個人的看法。
106,透過本次課堂的學習，我能分辨哪些訊息屬於科學研究結果所做的「解讀(interpretation)」。
107,在本次課堂的學習，我能嘗試應用「證據資料(evidence)」來合理化我對爭議問題的觀點。
108,透過本次課堂的學習，我能學會：欣賞「牛奶對健康的影響」的各種「具實證基礎的觀點」。<br>﹝例如：某專家主張「鼓勵飲用」所根據的研究結果與抱持的觀點，以及某專家主張「不鼓勵飲用」所另根據的研究結果與抱持的觀點。﹞
109,透過本次課堂的學習，我體會到：在追求「真相」的過程中，人們會合理懷疑目前證據的充分性、可靠性、解釋的範圍…等等，也因此對於該議題知識的真相會有所謂的不確定性。
110,透過本次課堂的學習，我瞭解到：有關「牛奶對於健康的影響」的各種論點，並不是每個論點都具有同等的效力。<br>﹝此處所指的「效力」意即：每個論點的證據強弱，是有所不同；或存在個人偏見的問題。﹞
111,透過本次課堂的學習，我瞭解到：面對「牛奶對於健康的影響」這類議題的「論點」，必須是要有「實證」為依據的。
112,透過本次課堂的學習，我瞭解到：不同的觀點對「科學研究的證據」會有不同的解讀，其「偏差(bias)」也是不同的。
113,透過本次課堂的學習，我更進一步瞭解：所謂的「事實Facts」和「解讀Interpretation」二者間是不同的。<br>意即：以不同觀點剖析證據資料可以有不同的「解讀Interpretation」，但「事實Facts」往往只有一個。
114,透過本次課堂的學習，我學會：透過評比各種不同的實證解讀(evidence-based interpretations)做選擇。
115,透過本次課堂的學習，我學會：如何解釋各種不同「實證觀點」之間的關係。
116,透過本次課堂的學習，我體會到：雖然我從各種不同的論點，挑選出「我最認同的觀點」；但這並不代表我否定了其他解讀上也合理的觀點。
117,透過本次課堂的學習，我體會到：雖然知識在未來的某些觀點上是會改變的；而此刻所形成的一些原則與程序，是目前狀態下所普遍認同的。
118,透過本次課堂的學習，我學習到：如何以現有的「實證資料」建構自己的觀點，同時也能指出自己建構的觀點之所以比其他觀點好的理由。
