題號,題目
100,"本問卷係用以瞭解同學們於面對問題時慣常抱持的思考態度與習慣；敬請各位同學仔細閱讀每一題後，「圈選」出一個最能描述您現況的答案。阿拉伯數字1, 2, 3, 4, 5, 6代表的是您平時相近於該題項描述行為發生頻率的高低："
101,在解決爭議問題時，我會設法使自己保有最新最完整的相關訊息。
102,當有足夠的證據顯示我的觀點有所偏頗時，我會修正我的觀點。
103,對於具的爭議性的問題，我會嘗試去了解來龍去脈。
104,在解決問題時，我會仔細考慮各種不同的解決方案。
105,我會嘗試去應用一些新的觀點，來剖析問題。
106,我嘗試藉由自我質疑的方式，來決定自己的觀點是否具備有足夠的信服力。<br>註：「自我質疑」即：自己反問自己的意思。
107,我很容易被口才好的人影響我的看法
108,如果有人非常具有說服力，我傾向於更改我的意見，來配合他們。
109,相較於找尋適合自己的朋友群一起生活，我更喜歡以自己的方式過生活。
110,如果我想在網路上表達意見，通常我會用匿名方式發表。
111,當我遇到困難問題時，我會以線上社群提供的意見做決定。
112,為了避免被社群網友排斥，通常我會配合大家的想法表達相似的意見。
113,面對爭議問題的各種訊息時，我除了會去瞭解可靠性，還會嘗試比較這些訊息的價值。
114,當證據資料不足時，我會暫緩做判斷。
115,我會主動探索爭議課題的各種觀點。
116,在做決定時，我會將與問題有關的各種情況納入考慮。<br>註：此處強調您能站在不同立場處境(易地而處)，經周延考慮後才做決定
117,我會為了與他人保持和睦而不堅持已見。
118,我的行事風格較獨立自主，不會輕易順從他人。
119,當我必須快速地做出重要決定時，我傾向於依賴他人的意見。
120,與網友在線上對話時，如果我有不同的意見，通常我會毫不猶豫的表達出來。
200,"本問卷係用以瞭解同學們於面對問題時慣常抱持的思考態度與習慣；敬請各位同學仔細閱讀每一題後，「圈選」出一個最能描述您現況的答案。阿拉伯數字1, 2, 3, 4, 5, 6代表的是您平時相近於該題項描述行為發生頻率的高低："
201,在非匿名的網路環境下，我會勇於表達自己的看法。
202,在網路上瀏覽他人對社會議題發表的意見，常常會帶動我認同的思緒。
203,在面臨具爭議性的問題時，我會設法保持理性的邏輯思考。
204,在處理爭議問題時，我會嘗試了解該問題的關鍵所在。
205,在著手解決一個問題之前，我先試著去找出此一問題的發生原因。
206,在討論的情境中，我會試著去尊重他人的觀點。
207,當他人提出一個論點時，我會試著釐清這個論點的實證依據。
208,在討論具爭議性的問題時，我通常會堅持自己的意見到最後。
209,為了維繫良好互動關係，對於網友在線上社群(例如：臉書Facebook)發表的意見，<br>即便我不認同，我也會不吝嗇按個讚。
210,我在網路上搜尋到的看法，常常會改變我的決定。
211,在使用一項訊息之前，我會先思考此一訊息是否可靠。
212,從討論或觀察當中，我能準確地了解他人的想法。
213,在討論的情境中，我會仔細聆聽他人的發言。
214,我會嘗試採取不同的角度去思考一個問題。
215,在做成決定之前，我會試著去預測各種方案可能產生的結果。
216,我通常會採納網路上的共同說法，做為自己的意見。
217,當與他人意見不同的時候，我通常不輕易對別人妥協或讓步。
218,當我遇到困難問題時，從網路搜尋到的看法對我的決定向來很重要。
219,和朋友們在一起時，往往是由朋友來決定我們要一起做哪些事情
220,我常常依賴他人的意見，來決定自己的行動。
